# Polish name -> USDA FoodData Central fdcId mapping.
#
# Hand-curated, script-assisted. This file decides BOTH which USDA entries end up in the
# bundled nutrition subset AND what they are called in the Polish UI. `scripts/build-nutrition.mjs`
# joins it against the FDC Foundation + SR Legacy downloads and writes src/lib/nutrition/ingredients.json.
#
# Tab-separated, four columns; `#` starts a comment, blank lines are ignored.
#
#   fdcId  name (Polish)  aliases (| separated, may be empty)  state (raw|cooked, default raw)
#
# `state` follows the USDA entry, not the shopping basket: "cooked" means the per-100 g values
# describe the food after cooking. 300 g of raw rice is not 300 g of cooked rice, so both exist
# as separate rows wherever the difference matters.
#
# Keep rows sorted inside their section and never reuse an fdcId: it is the ingredient's identity
# (`usda:<fdcId>`) and planned meals reference it forever.

## Nabial i jaja / Dairy and eggs

173430	Masło	maslo	raw
173410	Masło solone	maslo solone	raw
171314	Masło klarowane	ghee|maslo klarowane	raw
172175	Ser pleśniowy blue	ser plesniowy|gorgonzola|lazur	raw
172177	Ser brie	brie	raw
172178	Ser camembert	camembert	raw
328637	Ser żółty cheddar	cheddar|ser zolty	raw
173419	Ser żółty edamski	edam|ser zolty	raw
171241	Ser żółty gouda	gouda|ser zolty	raw
171242	Ser żółty gruyère	gruyere|ser zolty	raw
171251	Ser żółty ementaler	ementaler|szwajcarski|ser zolty	raw
170850	Ser żółty provolone	provolone|ser zolty	raw
171245	Ser żółty munster	munster|ser zolty	raw
173416	Ser żółty colby	colby|ser zolty	raw
172176	Ser żółty brick	ser zolty brick	raw
170844	Ser żółty monterey jack	monterey jack|ser zolty	raw
170849	Ser żółty port salut	port salut|ser zolty	raw
170852	Ser żółty tilsit	tylzycki|ser zolty	raw
173415	Ser żółty cheshire	cheshire|ser zolty	raw
173420	Ser feta	feta	raw
173435	Ser kozi miękki	ser kozi|serek kozi	raw
172197	Ser kozi twardy	ser kozi dojrzewajacy	raw
170845	Ser mozzarella	mozzarella	raw
170847	Ser mozzarella light	mozzarella light	raw
170848	Ser parmezan	parmezan|parmigiano	raw
171249	Ser pecorino romano	pecorino|romano	raw
171250	Ser roquefort	roquefort	raw
170851	Ser ricotta	ricotta	raw
173418	Serek śmietankowy	serek kremowy|philadelphia|cream cheese	raw
